FacultyID,Name,Experience
215,Michael Hicks,10
216,Stephanie Franco,8
217,Jessica Gonzalez,6
218,Julia Smith,3
219,Diane Davis,9
220,Emily Singh,8
221,Margaret Terrell,9
222,Daniel Bridges,5
223,Robin Walker,10
224,Samantha Watson,8
225,Bruce Newton,4
226,Pamela Smith,2
227,Wendy Adams,5
228,David Singleton,5
229,Jennifer Harrison,9
230,Joshua Delgado,2
231,Rebecca Romero,11
232,Eric Mendez,2
233,Caitlin Snyder,3
234,Jeffrey Miller,6
235,Blake Hebert,4
236,Charles Villarreal,2
237,Jake Anderson,8
238,James Sellers,3
239,Shane Moreno,11
240,Angela Reynolds,12
241,Dr. Thomas Cunningham,11
242,Gabrielle Ellis,2
243,Sandra Lawrence,2
244,Anna Cohen,3
245,Crystal Newton,9
246,Robert Ball,4
247,Patrick Hernandez,9
248,Brooke Duncan,7
249,Courtney Nguyen,4
250,Bryce Wood,12
251,Alicia Richards DDS,8
252,Nathan Hernandez,2
253,Gerald Williams,2
254,Danielle Mitchell,4
255,Richard Adams,11
256,Tracy Smith,4
257,Christopher Alexander,11
258,Jennifer Sullivan,9
259,Rebecca Baxter,8
260,Christopher Good,8
261,Jessica Jackson,8
262,Nicholas Cline,4
263,Katherine Robbins,12
264,Timothy Cook,5
265,Andrew Smith,9
266,Jeremy Wilson,3
267,Janice Cooper,6
268,Michael Cole,11
269,Kayla Flores,9
270,Marissa Smith,10
271,Deborah Henderson,8
272,Hector Lloyd,8
273,Angela Russell,9
274,Tara Adams,3
275,Kevin Patton,6
276,Joseph Ortega,3
277,Kenneth Brown,8
278,Paul Wilson,6
279,Billy Morris,12
280,Christopher Love,5
281,Michael Phillips,11
282,Amber Pratt,2
283,Robin Brown,9
284,Kerri Davis,2
285,Vanessa Mccarthy,12
286,Edward Mckinney,2
287,Valerie Ray,3
288,Travis Larson PhD,10
289,Patrick Mitchell,4
290,Sara Shaw,7
291,Elizabeth Russell,2
292,Patrick Moore,7
293,Nicole Smith,11
294,Timothy Oliver,12
295,Wendy Mckee,7
296,Robert Thompson,12
297,Nathan Robles,7
298,Kristina Ponce,7
299,Joshua Rodriguez,3
300,Patrick Donovan,3
301,Robert Hines,2
302,Shaun Woodard,9
303,David Harrison,6
304,Matthew Butler,2
305,Teresa Williamson,9
306,Matthew Petersen,6
307,Daniel Erickson,6
308,Roberto Alexander,12
309,Robert Walker,11
310,Scott Brady,10
311,James Douglas,9
312,Megan Perkins,3
313,Michael King,2
314,Shawn Collins,11
315,John Morales,6
316,Edward Jimenez,10
317,Patricia Garcia,10
318,Lisa Brooks,7
319,John Brady,12
320,Mrs. Heather Chen PhD,9
321,Anthony Alvarado,5
322,Frank Simmons,6
323,Jodi Vance,12
324,Miss Leah Ford,2
325,Heidi Johnson,11
326,William Moses,9
327,Jennifer Morales,6
328,Daniel Campos,9
329,Christopher Garcia,2
330,Alexander Patel,3
331,Dr. Jesse Sherman,2
332,Charles Beasley,12
333,Kathy Hernandez,4
334,Matthew Mitchell,6
335,Virginia Schultz,11
336,Anthony Williams,6
337,Matthew Young,8
338,Lisa Miller,5
339,Frances Mcdonald,9
340,Amy Reyes,7
341,Charles Baker,11
342,Ashley Bailey,12
343,Derek Solomon,8
344,Austin Lambert,5
345,Jeffrey Roberts,5
346,Denise Wright,8
347,Donna Robinson,7
348,Daniel Barr,4
349,Philip Diaz,11
350,Nicole Castro,5
351,Edward Holland,9
352,Angela Shaffer,2
353,Eric Figueroa,3
354,Kelly Hill,7
355,Paul Jordan,5
356,Rebecca Johnson,11
357,Christie Mccann,5
358,Valerie Moss,3
359,Katherine Johnson,4
360,Kimberly Gordon,10
361,Maria Rodriguez,10
362,Ann Austin,4
363,Charles Cummings,3
364,Chase Bailey,7
365,Samuel Payne,8
366,Justin Hall,6
367,Sean Williams,11
368,Anna Krause,3
369,Edward Velasquez,5
370,Jose Mcneil,3
371,Morgan Stone,6
372,Amber Wilson,10
373,Courtney Davis,11
374,Lauren Espinoza,3
375,Frederick Williams,7
376,Daniel Mills,5
377,Beth Weaver,8
378,Jennifer Li,4
379,Michael Wright,12
380,Kristen Smith,2
381,Donna Stone,10
382,Crystal Caldwell,7
383,Lisa Hubbard,9
384,Karen Beltran,11
385,Roberta Hall MD,12
386,Michael Thompson,12
387,Ann Melton,6
388,Christine Mercer,8
389,Elizabeth Perez,11
390,Angel Baldwin,8
391,Heidi Morrison,10
392,James Espinoza,5
393,Richard Hayden Jr.,5
394,David Padilla,8
395,Douglas Thomas,8
396,Sarah Caldwell,9
397,William Gardner,10
398,Ricardo Taylor,4
399,Meghan Price,3
400,Kayla Howard,8
401,Jacqueline Ingram,4
402,Karen Chavez,5
403,Zachary Carson,10
404,Joseph Guerrero,11
405,Dawn Coleman,9
406,Courtney Valencia,5
407,Kaylee White,11
408,Shane Jackson,10
409,Jessica Gonzalez,9
410,Jamie Morgan,9
411,Adam Freeman,2
412,William Tucker,6
413,April Flores,6
414,Justin Taylor,4
415,Gina Hernandez,11
416,Ashley Oconnell,5
417,Arthur Hernandez,6
418,Joyce Jones,3
419,Rebecca Patel,10
420,Raymond Atkins,7
421,Melissa Ortiz,7
422,Angela Guerrero,11
423,Brad Johnson,8
424,Shawn Ray,8
425,Kathryn Brown,6
426,Dylan Cantu,4
427,Jill Atkins,7
428,Jonathan Garrison,5
429,Kimberly Ford,6
430,Patrick Wilcox,7
431,Erika Mullins,4
432,Matthew Woodard,9
433,James Flores,6
434,Wendy Wang,6
435,Jennifer Morgan,8
436,Ashley Gomez,9
437,Dwayne Cross,5
438,Jose Chase,5
439,Karen Padilla,11
440,Joseph Hudson,9
441,Carla Mooney,7
442,Erica Blake,7
443,Megan Travis,7
444,John Hoffman,9
445,Mark Rogers,12
446,Johnathan Black,10
447,Teresa Davenport,3
448,Andrew Powell,7
449,Angela Woods,11
450,Eric Long,7
451,Joseph Gibson,5
452,Bethany Weiss,5
453,Manuel Sullivan,5
454,Joshua Tucker,8
455,Dana Wolfe,9
456,Daniel Nguyen,8
457,Kimberly Reyes,2
458,Samuel Wagner,6
459,Suzanne Lopez PhD,9
460,Joseph Brown,10
461,Kimberly Perez,3
462,Brooke Fisher,6
463,Clayton Scott,4
464,Amy Clark,12
465,Andrea Bell,10
466,Amanda Long,12
467,Jose Kramer,2
468,Thomas Thomas,6
469,Michelle Cobb,7
470,Kevin Yang,12
471,William Moore,4
472,Tammy Morales,4
473,Rachel Duffy,10
474,Alfred Davis,2
475,Erika Rodriguez,3
476,Keith Pineda,3
477,Ian Dougherty,9
478,Joseph Mayo,7
479,Eric Morgan,12
480,Karen Cooper,11
481,Melissa Jackson,6
482,Natalie Scott,12
483,Heather Lewis,7
484,Rebecca Blankenship,9
485,James Clark,9
486,Mrs. Michele Ponce,12
487,Kristin Watson,12
488,Dr. Keith Ramirez,7
489,Nathan Little,9
490,Stacey Campbell,12
491,Cheyenne Gonzalez,9
492,Richard Jones,3
493,Sara Williams,3
494,Eric Burton,9
495,Sarah Wong,7
496,John Rodriguez,11
497,Dylan Duncan,9
498,Erin Mckenzie,3
499,Anthony Bennett,10
500,Marvin Blanchard,9
501,Karla Martin,5
502,Mary Walker,2
503,Thomas Maynard,3
504,John Collins,11
505,Teresa Washington,12
506,Catherine Mckinney,10
507,Rachel Anderson,9
508,Christine Scott,4
509,Kelsey Ellis,3
510,James Rice,8
511,Mary Soto,3
512,Jordan Henson,8
513,Brandon Galvan,12
514,Anne Fisher,10
515,Kim Stuart,7
516,Laura Phillips,8
517,James Smith,3
518,Mary Gomez,11
519,Melissa Levy,11
520,Willie James,5
521,Rodney Barnett,5
522,Joy Kelly,6
523,Vanessa Johnson,6
524,Hannah Swanson,6
525,Elijah Vaughn,10
526,Nancy Martinez,6
527,Olivia Webb,4
528,Stacey Little,4
529,Madison Caldwell,12
530,Ian Martinez,3
531,Christopher Evans,5
532,Kelsey Pittman,4
533,Patricia Burton,7
534,Melanie Baldwin,6
535,John Mcintyre,9
536,Christopher Stevens,5
537,Elizabeth Carter,2
538,Mrs. Kristie Wang MD,12
539,April Thornton,2
540,Gregory Reyes,8
541,Brenda Zhang,10
542,Katherine Taylor,7
543,Tina Thomas,2
544,Maria Fritz,12
545,Julia Garcia,2
546,Donna Jones,9
547,Ashley Jones,12
548,Sabrina King,5
549,Julie Lewis,5
550,Danielle Rivera,4
551,Adrienne Rodriguez,10
552,Ana Lara,7
553,Angela Watson,10
554,Patrick Randall,8
555,Jose Bird,6
556,Andrea Reyes,5
557,Christopher Garner,6
558,Nichole Randolph DVM,5
559,Edward Carpenter,3
560,Erica Armstrong,4
561,Angela Robinson,12
562,Rachel Chase,2
563,Angela Robinson,12
564,Jessica Mckinney,3
565,Theresa Campbell,9
566,Kim Morgan MD,3
567,Sean Fernandez,8
568,Willie Barr,12
569,Zachary Gonzalez,4
570,Taylor Olson,2
571,Laurie Walton,10
572,Susan Mcdowell,6
573,Hannah Clark,5
574,Lisa White,2
575,Cynthia Mckinney,12
576,Joshua Logan,10
577,Ryan Ramos,7
578,Jay Smith,11
579,Martha Campos,7
580,Michael Perez,6
581,Elizabeth Hernandez,5
582,Amy Cortez,12
583,Catherine Fitzgerald,4
584,Alyssa Martinez,10
585,Stephanie Dillon,8
586,Anna Williams,2
587,Johnny Delgado,8
588,Thomas Bell,5
589,Catherine Woods,8
590,Dale Boyer,7
591,Kayla Bright,2
592,Danielle Williams,2
593,Brittany Daniels,9
594,Kristin Ortiz,4
595,James Mason,5
596,Brenda Scott,2
597,Austin Drake,3
598,Robert Hernandez,3
599,William Miller,11
600,Joseph Luna,6
601,Anthony Lewis,3
602,Kelsey Yang,2
603,Paula Lee,12
604,Morgan Rush,6
605,Jennifer Matthews,11
606,Susan Bennett,11
607,Willie Taylor,2
608,James Cummings MD,10
609,Kimberly Foley,11
610,Joshua Ballard,11
611,Anthony Flores,11
612,Taylor Hobbs,10
613,Mark King,3
614,Erin Vasquez,3
615,Christopher Curtis,9
616,Robert Baker,4
617,Jessica Day,4
618,Mary Hensley,2
619,William Perkins,11
620,Jason Carson,11
621,Lisa Warren,11
622,Gregory Smith,9
623,Jeanette Wells,12
624,Henry Bennett,7
625,Beverly Thomas,11
626,Samantha Garza,10
627,Zachary Greene,12
628,James Howard,9
629,Teresa Tyler,7
630,Allison Waller,6
631,Andrea Mack,6
632,Kevin Santiago,3
633,Jennifer Norris,7
634,Christina Clark,7
635,Nancy Rivera,10
636,Anthony Allen,5
637,Charles Jenkins,12
638,Kevin Fuentes,2
639,Kevin Gilbert,11
640,Tyler Willis,8
641,Johnny Baldwin,2
642,Robert Schneider,6
643,Seth Lin,5
644,Jane Cordova,4
645,Mary Wiggins,6
646,Jeremy Smith,10
647,Dominic Cox,8
648,Robert Franklin,6
649,Tyler Orr,9
650,Cody Cain,3
651,Stephanie Taylor,5
652,Lori Nguyen,8
653,Bethany Mcclure,3
654,Hannah Patton,3
655,Jessica Davis,9
656,Douglas Jackson,9
657,Richard Roberts,5
658,Alex Ramirez,3
659,Jason Banks,6
660,Matthew Ramirez,10
661,Steven Wilson,5
662,Michael Shaw,2
663,Stephen Harris,5
664,Carlos Klein,2
665,Michelle Mitchell,6
666,Danielle Terry,12
667,Taylor Cole,7
668,Clinton Moore,10
669,Danielle Nunez,2
670,Mr. Robert Kim DDS,2
671,William Joseph,4
672,David Patton,5
673,Douglas Burke,4
674,Emily Atkins,11
675,Patricia Hale,10
676,Deborah Alvarez,11
677,Phillip Wolfe,10
678,Tony Gomez,4
679,Teresa York,8
680,Robert Miller,2
681,Hailey Hodge,2
682,Cynthia Henson,4
683,Randy Wu,5
684,Kyle Weber DVM,6
685,Matthew Herrera,12
686,Amy Andrews,9
687,Trevor Williams,8
688,David Miller,11
689,Madeline Smith,11
690,Brian Morris,5
691,Bryan Peterson,10
692,Tammy Ruiz,6
693,Jennifer Strickland,8
694,Caitlin Barnes,6
695,Amanda Hayes,10
696,Jamie Ellis,9
697,Bryan Davis,12
698,Jessica Morrow,10
699,Justin Lopez,2
700,Bryan Crawford,3
701,Amy Smith,9
702,Craig Baker,10
703,Justin Johnson,12
704,Pamela Jones,8
705,Ronald Sanchez,5
706,Nicholas Leonard,6
707,Daniel Mason,3
708,Kelly Calderon,5
709,Laura Drake,3
710,Cody Arnold,8
711,James Coleman,7
712,Jason Kim,4
713,Shannon Smith,4
714,Wendy Fleming,11
715,Bryan Myers,11
716,Timothy Willis,2
717,Daniel Ward,5
718,Wayne Montgomery,8
719,Susan Lewis,8
720,James Daniel,10
721,Matthew Massey,11
722,Angel Brady,11
723,Corey Howard,7
724,Jennifer Campbell,4
725,Nicholas Foster,8
726,Christopher Richardson,12
727,Randall Hughes,3
728,Elizabeth Smith,6
729,Stephanie Perry,3
730,Margaret Gill,8
731,Steve Long,4
732,Stephen Mcdaniel,11
733,David Garrison,10
734,Courtney Moore,4
735,Amber Gonzales,2
736,Erica Hopkins,12
737,Andrea Medina,12
738,Julie Randall,7
739,Paul Barber,10
740,Misty Luna,12
741,Julie Davis,10
742,Marco Brooks,7
743,Andrew Mcdonald,7
744,Dwayne Hernandez,9
745,Mr. Michael Riddle DDS,10
746,Tracy Richards,4
747,Ashley Petersen,12
748,Ryan Reynolds,8
749,Larry Reynolds,8
750,Jerry Hunt,4
751,Brittany Novak,7
752,Kimberly Hughes,12
753,Kelly Sharp,11
754,Andrea Taylor,6
755,Ruth Livingston,5
756,Marvin Taylor,10
757,Sabrina Hayes,7
758,Jonathan Phelps,3
759,Jeremy Holmes,11
760,Cameron Robinson,10
761,Ronald Potter,6
762,Mary Dudley,7
763,Cathy Burton,12
764,John Jones,7
765,Samantha Potter,7
766,Dr. Craig Woodward,5
767,Christopher Jackson,9
768,Matthew Bullock,12
769,Renee Gonzalez,12
770,Heather Joyce,10
771,Andrew Castillo,7
772,Jacob Hendrix,12
773,Rachel Burgess,4
774,Samantha Galvan,11
775,Nathaniel Williams,12
776,Brittney Brock,9
777,Melanie Leon,9
778,Dawn Jones,4
779,Kenneth Gonzalez,11
780,Paul Thomas,7
781,Scott Burke,12
782,Amanda Vaughn,12
783,Rachael Wang,10
784,Kathleen Aguilar,5
785,Mrs. Brooke Weiss,11
786,Andrew Henry,9
787,Whitney Brown,6
788,Benjamin Howard,6
789,Michael Alvarez,5
790,Kimberly Rivera,7
791,James Reed,3
792,Chase Miller,8
793,Patricia Browning,4
794,Deborah Perry,3
795,Catherine Ewing,8
796,Kaylee Hopkins,11
797,Kimberly Mclaughlin,9
798,Eric Hardy,7
799,Christian Martin,12
800,Jennifer Johnston,3
801,Clayton Riley,12
802,Tracy Wilson,7
803,Jennifer Klein,5
804,Gene Rogers,5
805,Danielle Martin,6
806,Judy Nunez,4
807,Allison Pierce,7
808,Peter Davis,5
809,Kelly Schneider,5
810,Kim Villanueva,6
811,Jerry Brown,9
812,Thomas Santiago,6
813,Mary Hall,9
814,Ricky Camacho,8
815,Elizabeth Watson,3
816,Jessica Mcintosh,5
817,Richard Cain,2
818,Shirley Rogers,7
819,Joshua Stephens,6
820,William Smith,11
821,Joseph Small,7
822,Jonathan Burnett,9
823,Zachary Cummings,10
824,Daniel Myers,9
825,Jasmine Reed,8
826,Amy Hernandez,7
827,Michael Berry,11
828,Diana Hunt,7
829,Dwayne Stone,11
830,Benjamin Gibson,6
831,Katelyn Dodson,8
832,Mr. Christopher Clayton,6
833,Cheryl Bailey,11
834,Brittany Valdez MD,2
835,James Woods,8
836,James Sexton,8
837,Thomas Perez,9
838,Deborah French,6
839,Stephanie Williams,7
840,Pamela Singh,3
841,James Faulkner,12
842,Andrew Anderson,12
843,Mr. Matthew Alvarez,7
844,Megan Medina,6
845,John Hayes,2
846,Joseph Padilla,12
847,Benjamin Braun,6
848,Emily Cox,3
849,Daniel Johnston,5
850,Patrick Brewer,9
851,Jared Shelton,5
852,Michael Clark,7
853,Sarah Richardson,4
854,Kevin Fox,12
855,Valerie Davis,5
856,Tara Tucker,3
857,Kristi Wilson,10
858,Valerie Cuevas,10
859,Christopher Wheeler,9
860,George Thompson,8
861,Richard Callahan,8
862,Gabrielle Lewis,8
863,John Miles,3
864,Emily Weaver,5
865,Francis Aguilar,6
866,Michael Vasquez,6
867,Jerome Jacobs,10
868,Kelly Chambers,7
869,Alexandria Johnson,6
870,Sharon Smith,6
871,Cassandra Callahan,3
872,Gabriel Riley,3
873,Cheryl Garcia,3
874,Christine Diaz,5
875,Jacqueline Jones,6
876,Katie Spencer,11
877,John Flores,12
878,Ruth Hancock,9
879,Michele Martinez,5
880,Justin Farmer,7
881,Robert Medina,11
882,Nathan Tanner,8
883,Jeremy Bell MD,4
884,Cory Brown,11
885,Victoria Johnson,3
886,Stacey Clark,8
887,James Vazquez,5
888,Kenneth Harper,2
889,Monique Gamble,9
890,David Davis,8
891,Lance Francis,12
892,Shawn Hill,2
893,Andrew Pierce,5
894,Jared Reyes,7
895,Barbara Myers,6
896,Christopher Williams,9
897,Katherine Allen,6
898,Jessica Silva,9
899,Jesse Carter,7
900,Christopher Navarro,7
901,Scott Mckenzie,7
902,Erin Macdonald,9
903,Peter Howell,7
904,Michele Campbell,10
905,Brian Harris MD,7
906,Jason Buchanan,10
907,Rhonda Davenport,9
908,Christine Clements,3
909,Scott Castro,7
910,Lisa Brooks,8
911,Donald Ramirez,4
912,James Garcia,12
913,Kevin Gutierrez,8
914,Bradley Davis,8
915,Kelly Yang,10
916,Gina Harper,5
917,Andrew Davis,8
918,Joanna Hicks,10
919,Mark Bowers,8
920,Gregory Anderson,3
921,Victoria Beck,7
922,Marcia Tucker,3
923,Jeremy Taylor,12
924,Lori Carter,11
925,Pamela Smith,12
926,Suzanne Brown,7
927,Joann Williams,9
928,Cassandra Richardson,4
929,Daniel Krueger,8
930,Julie Santos,12
931,Dana Parks,5
932,Edward Rose,11
933,John Wallace,11
934,Amanda Castillo,2
935,Casey Griffin,2
936,Kristen Lee,6
937,Amanda Brown,7
938,Katie Wilson,12
939,Brandy Fisher,7
940,Randy Gaines,6
941,Sarah Smith,10
942,Katherine Lambert,8
943,Angela Jackson,6
944,Frances Bauer,6
945,Aimee Estrada,8
946,Amber Blackburn,4
947,Jeanette Moreno,9
948,Peter Turner,6
949,Adam Harris,6
950,Courtney Osborne,3
951,John Johnson,12
952,Kristina Murphy,9
953,Brian George,11
954,Stacy Oneill,10
955,Amber Medina,4
956,Vincent Christensen,7
957,James Stone,12
958,Jordan Mcclain,6
959,Tara Stephenson,7
960,Morgan Joseph,10
961,Brandon Cox,7
962,Kyle Ruiz,10
963,Jesse Ramirez,12
964,David Johnson,5
965,Mark Perez,7
966,Jon Watson,11
967,Laura White,6
968,Christopher Ford,7
969,Marc Kemp,7
970,Erik Williams,8
971,Samantha Stevens,3
972,Amy Martin,5
973,Bradley Hood,3
974,Mariah Castro,6
975,Diana Coffey,9
976,Garrett Hawkins,4
977,Kristi Reed,10
978,Austin Ellison,7
979,Jason Randall,9
980,Tina Klein MD,5
981,Cheryl Vargas,8
982,Harold Reed,5
983,Amy Grant,12
984,Jerry Curtis,9
985,Jennifer Tucker,7
986,Sheila Waters,2
987,Alexandra Williams,7
988,Carrie Friedman,10
989,Julie Ramsey,5
990,Jeremy Byrd,11
991,Philip Hamilton,7
992,Mary Henderson,7
993,Nicole Perez,7
994,Kenneth Wilson,9
995,Frank Zamora,2
996,Thomas Davis,3
997,Sheila Turner,3
998,Vicki Barnett,5
999,Eric Jenkins,9
1000,Christina Carter,4
1001,Lisa Rodriguez,3
1002,Jacob Nicholson,12
1003,Dawn Baker,4
1004,Peter Williams,6
1005,Tiffany Harrell,2
1006,Matthew Goodwin PhD,4
1007,Andrew Johnson,7
1008,Ryan White,8
1009,Amber Atkins,7
1010,Regina Brown,9
1011,Robert Martinez,9
1012,Jennifer Robles,8
1013,Charles Smith,10
1014,Melissa Fleming,9
1015,Kristin Watson,5
1016,Jessica Foley,11
1017,Patrick King,9
1018,Eric Stevens,12
1019,Justin Watson,4
1020,Heather Adkins,7
1021,Louis Osborne,2
1022,Joseph Dorsey,3
1023,Karen Tate,12
1024,Justin Vasquez,5
1025,Shane Dennis,7
1026,Michael Patterson,10
1027,Brittany Lopez,7
1028,Kathy Hill,8
1029,John Stewart,9
1030,Charles Thompson,11
1031,Christopher Campbell,7
1032,Ryan Li,7
1033,Louis Brady,10
1034,David Jones,4
1035,Betty Blackwell,10
1036,Matthew Cunningham,6
1037,Deborah Fields,5
1038,Veronica Williams,3
1039,Destiny Brewer,8
1040,Brett Smith,6
1041,Tony Rice,4
1042,Andrew Jones,3
1043,Patricia Miller,3
1044,Jacob Warner,11
1045,Rita Barr,9
1046,Albert Wagner,12
1047,Natalie Duffy,3
1048,Harold Guerrero,8
1049,Tonya Owens,3
1050,Brittany Baird,2
1051,Christopher Vang,9
1052,Sarah Russell,12
1053,Cathy Harris,4
1054,Daniel Parks,7
1055,Cynthia Smith,11
1056,Rebecca Moore,7
1057,William Zuniga,3
1058,Samantha Humphrey,3
1059,Gabriel Price,2
1060,David Johnson,8
1061,Hannah Everett,9
1062,Cynthia Pollard,7
1063,Timothy Krause,6
1064,Misty Dennis,2
1065,Robert Mercado,6
1066,Colin Anderson DVM,9
1067,Monique Rubio DVM,7
1068,John Johnson,6
1069,Allison Tanner,8
1070,Douglas Wright,9
1071,Erica Kennedy,3
1072,Jacob Yoder,10
1073,Paul Price,3
1074,Abigail Adkins,8
1075,Kathy Cline,3
1076,Kevin Moore,3
1077,Ashley Wise,8
1078,Tracy Cordova,10
1079,Bailey Cantrell,4
1080,Jose Guerrero,5
1081,Shane Valentine,2
1082,Steven Lindsey,10
1083,Alicia Hicks,3
1084,Edward Miller,9
1085,Deborah Sexton,10
1086,Joel Gutierrez,6
1087,Tyler Wagner,5
1088,Leslie Sanders,4
1089,Joshua Avila,9
1090,Kevin Russell,2
1091,Stacey Orr,4
1092,Thomas Miranda,7
1093,Eric Bautista,4
1094,Tina Hawkins,12
1095,Patricia Graham,4
1096,Samantha Cooper,9
1097,Anthony Sanchez,6
1098,John Austin,2
1099,Misty Hill,12
1100,Jeremy Holt,2
1101,Scott Ballard,8
1102,Mrs. Sarah Chavez,5
1103,Edwin Patel,8
1104,Samantha Lopez,9
1105,Michael Allen,7
1106,Arthur Cox DDS,8
1107,Monica Shepard,7
1108,Paul Carter,8
1109,Audrey Sexton,9
1110,Brandon Hays,8
1111,Michael Novak,8
1112,Alexandra Gonzalez,5
